NPSN,Nama Sekolah,Bentuk,Telpon,Email,Naungan,Kabupaten,Kecamatan,Alamat
70054616,SDTQ BUSTANUL AZKYA ALWALIYYAH,SD,,sdtqbustanulazkyaalwaliyyah@gmail.com,YAYASAN BUSTANUL AZKYA AL WALIYYAH,KOTA LHOKSEUMAWE,KEC. BLANG MANGAT,JLN. REL KERETA API
10102797,SD MUHAMMADIYAH KUTA BULOH,SD,,sdmuhammadiyah63@gmail.com,PIMPINAN DAERAH MUHAMMADIYAH (PDM) KAB. ACEH SELATAN,KAB. ACEH SELATAN,KEC. MEUKEK,JLN.TGK. H .M. ABDUH SYAM DESA KUTABULOH I KEC. MEUKEK
10100352,SD MUHAMMADIYAH SIGLI,SD,081264727658,sdmuhammadiyahsigli@gmail.com,PIMPINAN DAERAH MUHAMMADIYAH (PDM) KAB. PIDIE,KAB. PIDIE,KEC. KOTA SIGLI,JL. PASI RAWA
70024238,SD SWASTA IT AL-HANIF,SD,,,YAYASAN ELYUNUSIAH ACEH TENGGARA,KAB. ACEH TENGGARA,KEC. LAWE SIGALA-GALA,DESA LAWE PEKHIDINEN
10107914,SD SWASTA SUKMA BANGSA,SD,631129,ssblhok@sukmabangsa.sch.id,YAYASAN SUKMA,KOTA LHOKSEUMAWE,KEC. MUARA DUA,JL. SAMUDRA PASAI
10105696,SD AL-WASHLIYAH,SD,,sdalwashliyahlangsa@gmail.com,PERKUMPULAN AL-JAM’IYATUL WASHLIYAH,KOTA LANGSA,KEC. LANGSA KOTA,JL. T. UMAR NO 919
10105474,SD METHODIST,SD,081253533400,sdmethodistbandaaceh@gmail.com,YAYASAN METHODIST BANDA ACEH,KOTA BANDA ACEH,KEC. KUTA ALAM,JL. POCUT BAREN NO. 3 BANDA ACEH
70002257,SD AN-NAHLA,SD,082351722959,sd.annahla@gmail.com,NURUL QALAM ACEH,KAB. ACEH BARAT,KEC. JOHAN PAHLAWAN,JLN. SWADAYA LR. DELIMA 1 KEL. UJONG BAROH KEC. JOHAN PAHLAWAN KAB. ACEH BARAT
70061681,SD IT AZURA,SD,,,YAYASAN AZURA,KAB. BENER MERIAH,KEC. BUKIT,PONDOK SAYUR
10104329,SD SWASTA ALWASHLIYAH RANTAU,SD,,sdsalwashliyahrantau@yahoo.com,AL JAM'IYATUL WASHLIYAH,KAB. ACEH TAMIANG,KEC. RANTAU,DUSUN JAWA
10110320,SD SWASTA BUKIT BINTANG INDAH,SD,,sdsbukitbintangindah@gmail.com,YAYASAN PUTRA ALAS AGARA,KAB. ACEH TENGGARA,KEC. LUESER,DESA BUKIT BINTANG INDAH
10107451,SD SELAMATKAN TUNAS BANGSA,SD,083187846585,lyajuliana48@gmail.com,,KAB. ACEH BESAR,KEC. INDRAPURI,JL. B. ACEH - MEDAN KM.24
70004844,SD IT ALAIDINSYAH,SD,082367221934,sdalaidinsyah2020@gmail.com,YAYASAN UMMUL QURA ELASI,KAB. ACEH TIMUR,KEC. PEUREULAK,DESA KEUMUNING KECAMATAN PEUREULAK KABUPATEN ACEH TIMUR
70053208,SD CIPAR PARI TIMUR,SD,,,YAYASAN AL MUTAWAKKILIN CIPAR PARI,KOTA SUBULUSSALAM,KEC. SULTAN DAULAT,JL. RAMBUTAN KAMPONG CIPAR PARI TIMUR TIMUR KEC. SULTAN DAULAT
10105453,SD MUHAMMADIYAH 2,SD,082273579420,sd2muhsukaramai.bna@gmail.com,PIMPINAN DAERAH MUHAMMADIYAH (PDM) KOTA BANDA ACEH,KOTA BANDA ACEH,KEC. BAITURRAHMAN,JL. PATIMURA NO.37
70058402,SD ISLAM TERPADU ISHLAHUL UMMAH,SD,,,WAKAF ISHLAHUL UMMAH ACEH SELATAN,KAB. ACEH SELATAN,KEC. TAPAK TUAN,JLN. HAMZAH FANSURI NO. 20/23
70056120,SD SAQU KHALIFAH ALMUNAWWARAH,SD,,,YAYASAN KHALIFAH ALMUNAWWARAH INDONESIA,KOTA BANDA ACEH,KEC. BAITURRAHMAN,JL. ALUE BLANG NO.26
10113232,SD IT TEUKU UMAR,SD,085295283427,sditteukuumarmeulaboh@gmail.com,AL-MAGHRIBI ACEH BARAT,KAB. ACEH BARAT,KEC. JOHAN PAHLAWAN,"JL. T. DIRUBEK, DESA GAMPA"
69969136,SD IT ASY SYIFA,SD,082213106515,sditasy.syifa@gmail.com,ASY-SYIFA,KAB. BENER MERIAH,KEC. BUKIT,"JLN. PENDOPO BUPATI, BLANG SENTANG"
10104314,SD SWASTA AL-WASHLIYAH SEUMADAM,SD,081285331689,sdsawseumadam10104314@gmai.com,AL JAM'IYATUL WASHLIYAH,KAB. ACEH TAMIANG,KEC. KEJURUAN MUDA,JLN.PULAU TIGA
