NPSN,Nama Sekolah,Bentuk,Telpon,Email,Naungan,Kabupaten,Kecamatan,Alamat
20539432,SD ISLAM NURUL MUTTAQIN,SD,0341752287,sdislamnurulmuttaqinalbarokah@gmail.com,YAYASAN NURUL MUTTAQIN AL BAROKAH,KOTA MALANG,KEC. KEDUNGKANDANG,JL. NURUL MUTTAQIN NO. 39 RT. 05 RW. 05
20525020,SDS MUHAMMADIYAH,SD,081336501122,sdmuhammadiyahkasiyan@yahoo.co.id,PIMPINAN DAERAH MUHAMMADIYAH (PDM) KAB. JEMBER,KAB. JEMBER,KEC. PUGER,JL. MATARAM NO. 481
20501152,SD MENGANTI PERMAI,SD,082257689678,permaicantik@gmail.com,YAYASAN PENDIDIKAN MENGANTI PERMAI,KAB. GRESIK,KEC. MENGANTI,PERUM. MENGANTI PERMAI
70012859,SD DAFA AL-AMIEN,SD,,sddafaalamien864@gmail.com,YAYASAN PONDOK PESANTREN DARUL FALAH AL-AMIEN SABRANG AMBULU JEMBER,KAB. JEMBER,KEC. AMBULU,JL.LAPANGAN SABRANG AMBULU
20566279,SD ISLAM NURUL HUDA,SD,,sdi.nurulhuda.20566279@gmail.com,NURUL HUDA,KAB. BANGKALAN,KEC. KOKOP,JL. RAYA KOKOP
20573262,SD ISLAM AL HUDA,SD,085233595761,admin@sdislamalhuda.sch.id,YAYASAN AL-HUDA GUNUNG PUTRI,KAB. SITUBONDO,KEC. SUBOH,KP. KRAJAN RT.08 RW.02
20540410,SD MUHAMMADIYAH I KEDUNGADEM,SD,085608650838,sdmuh01kdm@gmail.com,PIMPINAN DAERAH MUHAMMADIYAH (PDM) KAB. BOJONEGORO,KAB. BOJONEGORO,KEC. KEDUNGADEM,JL. PUK NO. 598
69955391,SD ISLAM AL IRSYAD,SD,085230323950,sdislamalirsyadwringinanom@gmail.com,YAYASAN AL ISTIKMAL,KAB. GRESIK,KEC. WRINGIN ANOM,DSN. JUWET RT. 01 RW. 04
20504220,SD ISLAM TERPADU AL UMMAH,SD,0321878629,sdit.alummah@yahoo.com,NURUS SALAM,KAB. JOMBANG,KEC. JOMBANG,JL KAPTEN TANDEAN GG VI/N0 4
20551937,SDI NURUL IJTIHAD,SD,087776386186,nurulijtihadsdi@gmail.com,NURUL IJTIHAD,KAB. SUMENEP,KEC. BLUTO,GILANG
