NPSN,Nama Sekolah,Telpon,Email,Akreditasi,Total Peserta Didik,Total Pendidik,Naungan,Kabupaten,Kecamatan,Alamat
10260556,SD SWASTA BANI ADAM AS,0616850665,sdbaniadamas@yahoo.co.id,B,203,18,BADAN PENGURUS PENGELOLA PENDIDIKAN DAN PANTI ASUHAN,KOTA MEDAN,KEC. MEDAN DELI,JL. MANGAAN III PSR.2 NO. 216
10205538,SD BUDI MULIA PANGKALAN LUNANG,081375064035,,B,179,8,,KAB. LABUHANBATU UTARA,KEC. KUALUH LEIDONG,JL. PENDIDIKAN
10210696,SD SWASTA MUHAMMADIYAH 34,,sdsmuhammadiyah34@gmail.com,B,75,11,PIMPINAN DAERAH MUHAMMADIYAH (PDM) KOTA MEDAN,KOTA MEDAN,KEC. MEDAN TUNTUNGAN,JL. SAWIT RAYA PERUMNAS SIMALINGKAR
10204766,SDMUHAMMADIYAH AIR PUTIH,,sdmuhammadiyahairputih@gmail.com,B,74,9,PIMPINAN DAERAH MUHAMMADIYAH (PDM) KAB. ASAHAN,KAB. ASAHAN,KEC. SILAU LAUT,JALAN TAQWA AIR PUTIH
70028952,SD RCM ISLAMIC SCHOOL,,rcmschool2022@gmail.com,B,54,11,YAYASAN WAKAF ALMUTTAQIN,KOTA MEDAN,KEC. MEDAN TIMUR,JL BILAL GG. AL-MUTTAQIN NO 6-A
10208208,SDS 075 MUHAMMADIYAH BULUMARIO,083168807375,sds075muh.bulumario@gmail.com,B,62,12,PIMPINAN DAERAH MUHAMMADIYAH (PDM) KAB. MANDAILING NATAL,KAB. MANDAILING NATAL,KEC. PANYABUNGAN UTARA,BARINGIN JAYA
10259306,SDS AR RIDHA,085380006254,sdsarridha@gmail.com,C,91,9,YSPI AR RIDHO,KOTA MEDAN,KEC. MEDAN TUNTUNGAN,JL. KARET RAYA NO 68
10220200,SD SWASTA SALSA,081265430671,sekolah.salsa@yahoo.com,A,376,18,YAYASAN BINA INSANI GEMILANG,KAB. DELI SERDANG,KEC. PERCUT SEI TUAN,JL SILIWANGI NO 1
10220825,SD SWASTA ISLAM SALSABILA,085262128410,lisdamaharani1617@gmail.com,B,287,15,YAYASAN PENDIDIKAN SALSABILA,KOTA MEDAN,KEC. MEDAN MARELAN,JL. YOUNG PANAH HIJAU GG. TAMBAK LK. 9
69786977,SD SWASTA CIPTA NUSA BAKTI,,ciptanusabaktisds@gmail.com,B,127,14,CIPTA NUSA BAKTI,KAB. DELI SERDANG,KEC. PERCUT SEI TUAN,JL. BERINGIN I GG. JALAK
70045945,SD IT ASH - SHIDDIQIN,,,B,54,13,YAYASAN PERSIS ASH SIDDIQIN HAMPARAN PERAK,KAB. DELI SERDANG,KEC. HAMPARAN PERAK,JL. LANGGAR NO. 88 A
69920600,SD IT SWASTA KURNIA,085270284545,sditskurnia@gmail.com,C,71,14,YAYASAN PENDIDIKAN KURNIA STABAT,KAB. LANGKAT,KEC. STABAT,DUSUN VI KURNIA
69991786,SD SWASTA ISLAM TERPADU CENDIKIA,081375815991,,A,116,12,YAYASAN PENDIDIKAN THORIQ  AL-HAKIM,KAB. DELI SERDANG,KEC. PERCUT SEI TUAN,JL. MEDAN-BATANG KUIS NO. 68 PASAR 10
10220315,SD SWASTA RK SERDANG MURNI,0617950475,mangapulmanalu@gmail.com,A,554,32,YAYASAN PERGURUAN KATOLIK DON BOSCO KEUSKUPAN AGUNG MEDAN,KAB. DELI SERDANG,KEC. LUBUK PAKAM,JALAN NEGARA-PEMATANG SIANTAR 142
10261696,SD SW MUTIARA BALIGE,085275144266,sdmutiara.balige@gmail.com,A,482,11,YAYASAN PENDIDIKAN MUTIARA ABADI BALIGE,KAB. TOBA,KEC. BALIGE,JL. OMPU BATU TAHAN SIAHAAN
10260939,SDS AR-RAYHAN SCHOOL,,ismail_sag@yahoo.com,B,362,27,YAYASAN HIFZUL QUR'AN ALBAHRUMI AR RAYHAN SCHOLL,KOTA MEDAN,KEC. MEDAN AMPLAS,JL. GARU III NO. 111 A
10260523,SD CAHAYA PENGHARAPAN ABADI,0618474034,cahayapengharapanabadi@ymail.com,C,291,16,CAHAYA PENGHARAPAN ABADI,KAB. DELI SERDANG,KEC. LABUHAN DELI,JL. VETERAN PSR V.DESA MANUNGGAL LABUHAN DELI
10261615,SD SWASTA AL-FAJAR,085262133031,alfajar-yayasan@yahoo.co.id,B,337,16,YAYASAN PENDIDIKAN AL FAJAR MEDAN,KOTA MEDAN,KEC. MEDAN MARELAN,JL. MARELAN II LINGKUNGAN 27
10261869,SD TUNAS HARAPAN,081361088466,estonsiallagan@rocketmail.com,B,145,12,YAYASAN TUNAS JAYA AMBARITA,KAB. SAMOSIR,KEC. SIMANINDO,SIMPANG GEREJA HKBP GAROGA
70030566,SD IT AL FURQON,,sditalfurqon5@gmail.com,,142,9,YAYASAN RAUDHATUL FURQON SERGAI,KAB. SERDANG BEDAGAI,KEC. PERBAUNGAN,DUSUN I
10211420,SD SWASTA MUHAMMADIYAH 01,06142088673,sdm01kartini@gmail.com,B,421,34,PIMPINAN DAERAH MUHAMMADIYAH (PDM) KOTA BINJAI,KOTA BINJAI,KEC. BINJAI KOTA,JL. R.A. KARTINI NO.25
69896381,SD SWASTA ISLAM TERPADU ARISA,081263091454,sditarisa2014@gmail.com,B,388,20,YAYASAN ARISA,KOTA MEDAN,KEC. MEDAN DELI,JALAN PLATINA II LK. XI NO. 15A
10210635,SDS HKBP PENDIDIKAN,0617344710,sdshkbppendidikan@yahoo.com,B,28,6,PERGURUAN KRISTEN SD SWASTA HKBP PENDIDIKAN,KOTA MEDAN,KEC. MEDAN DENAI,JL.AR HAKIM GG.PENDIDIKAN NO.99
70010931,SD IT NURUL QURAN,085370423456,,B,130,10,YAYASAN PENDIDIKAN ISLAM TERPADU NURUL QUR'AN KOTA TANJUNGBALAI,KOTA TANJUNG BALAI,KEC. S. TUALANG RASO,JALAN SEI KOGEM
10210596,SDS KARANG SARI,081210655585,karangsari8459@gmail.com,B,14,4,YAYASAN PERGURUAN KARANG SARI,KOTA MEDAN,KEC. MEDAN POLONIA,JL. MAWAR NO 9 MEDAN
10212808,SD SWASTA ALWASLIYAH TEGAL REJO,082367339512,sdalwashliyahtegalrejo@yahoo.com,B,152,5,ALWASHLIYAH TEGAL REJO,KAB. SIMALUNGUN,KEC. BANDAR,HUTA I NAGORI PEMATANG KERASAAN
10211826,SD TAMAN ASUHAN,06227436240,tamanasuhansiantar@gmail.com,A,343,27,YAYASAN PENDIDIKAN PERKEBUNAN NUSANTARA IV,KOTA PEMATANGSIANTAR,KEC. SIANTAR BARAT,JLN. KAPTEN M.H SITORUS NO. 17 PEMATANGSIANTAR
70048358,SD IT HUMAIRA,085373472654,sdithumaira@gmail.com,,69,8,YAYASAN CAHAYA HATI LANGKAT,KAB. LANGKAT,KEC. STABAT,LINGKUNGAN III SEJAHTERA PINANG DUA KEL DENDANG
10220814,SD SWASTA BUDI AGUNG,081370973859,sd.budiagung@yahoo.com,A,195,11,YAYASAN PERGURUAN BUDI AGUNG,KOTA MEDAN,KEC. MEDAN MARELAN,JL. PLATINA RAYA NO. 7A MEDAN
10220793,SD SWASTA MUHAMMADIYAH 6,0614568535,sdmuhammadiyah6medan@gmail.com,A,262,18,PIMPINAN DAERAH MUHAMMADIYAH (PDM) KOTA MEDAN,KOTA MEDAN,KEC. MEDAN PERJUANGAN,JALAN PAHLAWAN NO 67 MEDAN
10210358,SD SWASTA AL -WASHLIYAH 41,085358952991,kepsekgym88@yahoo.co.id,B,38,9,SD SWASTA AL WASHLIYAH 41 MEDAN,KOTA MEDAN,KEC. MEDAN SELAYANG,JL.SETIA BUDI
10210310,SDS DHARMA WANITA,085296346576,yp.dharmawanita@yahoo.co.id,B,121,13,DHARMA WANITA PERTIWI,KOTA MEDAN,KEC. MEDAN SELAYANG,JL MELATI II NO 30 MEDAN
10212809,SD SWASTA ALWASHLIYAH WONOREJO,082163331101,sdalwashliyahwonorejo@yahoo.com,B,133,11,AL JAMIYATUL WASHLIYAH,KAB. SIMALUNGUN,KEC. PEMATANG BANDAR,JL.PENDIDIKAN
10260023,SDS AL HIRA,0617344049,alhira61@yahoo.com,B,114,11,YAYASAN AL-HIRA' PERMATA NADIA,KOTA MEDAN,KEC. MEDAN DENAI,JL TUBA II NO 61
10215109,SD SWASTA AL WASLIYAH TANJUNG MORAWA,,sdawtamora14@gmail.com,B,79,10,AL JAM'IYATUL WASHLIYAH,KAB. DELI SERDANG,KEC. TANJUNG MORAWA,JALAN BANDAR LABUHAN TANJUNG MORAWA
10211876,SD GUPPI USWATUN HASANAH,082163585171,guppi_sd46@yahoo.com,B,189,10,YAYASAN USWATUN HASANAH PEMATANGSIANTAR,KOTA PEMATANGSIANTAR,KEC. SIANTAR MARTOBA,"JLN. MEDAN KM. 4,5"
10203025,SD SWASTA ALWHASLIYAH BAH GUNUNG,,sdalwashliyahbahgunung@gmail.com,B,156,8,AL-JAMIYATUL WASHLIYAH,KAB. SIMALUNGUN,KEC. BANDAR HULUAN,BAH GUNUNG
70058401,SD IT TQ CAHAYA KAMILA,082160624850,sditcahayakamila@gmail.com,,80,9,YAYASAN PENDIDIKAN CAHAYA KAMILA,KAB. DELI SERDANG,KEC. PERCUT SEI TUAN,JL. MAKMUR
10220930,SD SWASTA 101830 EKA PENDAWA SAKTI,081216170180,sdanjabinanga@gmail.com,A,482,25,YAYASAN INTI KASIH ABADI,KAB. PADANG LAWAS UTARA,KEC. SIMANGAMBAT,PT. AUSTINDO NUSANTARA JAYA AGRI TBK.
10259885,SD SWASTA 101950 KITA YADIKA,081263753619,juliana.nahulae@ymail.com,A,542,21,ABDI KARYA,KAB. PADANG LAWAS UTARA,KEC. SIMANGAMBAT,AEK RARU
10205503,SD SULTAN HASANUDDIN,081362343075,sdsltanhasanuddin@yahoo.com,A,353,20,YP.SULTAN HASANUDDIN AEK KANOAPAN,KAB. LABUHANBATU UTARA,KEC. KUALUH HULU,JL. GAZALI KARIM NO. 48 AEK KANOPAN
10202077,SD SWASTA ADVENT BARUS JULU,081360177871,petrusginting18@yahoo.co.id,B,199,8,YAYASAN PENDIDIKAN GEREJA MASEHI ADVENT HARI KETUJUH SUMATERA UTARA,KAB. KARO,KEC. BARUSJAHE,BARUS JULU
70042059,SD IT NURUL IKHWAN,,,,75,7,YAYASAN NURUL IKHWAN MONDANG,KAB. PADANG LAWAS,KEC. SOSA,KOMPLEK TAMBATAN INDAH JL. LINTAS PINARIK DESA MONDANG
10213633,SD SWASTA MUHAMMADIYAH,0617940109,sdsmuhammadiyahtamora@yahoo.com,A,346,22,PIMPINAN DAERAH MUHAMMADIYAH (PDM) KAB. DELI SERDANG,KAB. DELI SERDANG,KEC. TANJUNG MORAWA,JL. SEI BELUMAI HILIR NO.62
10213683,SD SWASTA SIALANG,082360981867,sdswastasialang9@gmail.com,B,220,11,YAYASAN PENDIDIKAN KARYA KASIH,KAB. DELI SERDANG,KEC. BANGUN PURBA,DESA SIALANG
10220792,SDS ICHWANUSSHAFA,081361494562,sdsichwanusshafa@yahoo.com,B,80,10,YAYASAN PERGURUAN ICHWANUSSHAFA,KOTA MEDAN,KEC. MEDAN PERJUANGAN,JL KERAMBIK NO 2 MEDAN
10220636,SD SWASTA AL WASHLIYAH CITAMAN JERNIH,085260463155,sd_alwashliyahcitaman@yahoo.com,B,76,10,AL JAM'IYATUL WASHLIYAH,KAB. SERDANG BEDAGAI,KEC. PERBAUNGAN,JL. CENDRAWASIH DUSUN II
69986878,SD SWASTA IT AISYAH MAKSUM,,sditaisyahmaksum@yahoo.com,A,313,18,YAYASAN PENDIDIKAN ISLAM TERPADU AISYAH MAKSUM,KOTA MEDAN,KEC. MEDAN MARELAN,JL. KAPTEN RAHMAD BUDDIN LINGK 13
10205578,SD ALWASLIYAH 83 GUNTING SAGA,085358144925,sdsalwasgliyah83gs@gmail.com,C,410,20,ALWASHLIYAH,KAB. LABUHANBATU UTARA,KEC. KUALUH SELATAN,JL. PERGURUAN NO. 41-B GUNTING SAGA
10261974,SDIT SWASTA AL KAFFAH,081375755143,sditalkaffah017@gmail.com,B,477,27,YAYASAN WAKAF AL KAFFAH BINJAI,KOTA BINJAI,KEC. BINJAI SELATAN,JL. LETJEND. JAMIN GINTING
10260528,SD SWASTA ISLAM TERPADU RAUDHATUS SAKINAH,061841883,rds.sakinah@gmail.com,A,60,13,YAYASAN PENDIDIKAN ISLAM TERPADU RAUDHATUS SAKINAH MARELAN,KOTA MEDAN,KEC. MEDAN MARELAN,JL. M. BASIR NO. 118 LINGK. 6 PSR. V
10212457,SD HKBP 2 PADANGSIDIMPUAN,081264442886,sdswastahkbp02@gmail.com,B,178,13,YAYASAN PERGURUAN HKBP,KOTA PADANG SIDEMPUAN,KEC. PADANG SIDIMPUAN SELATAN,JL. SM. RAJA NO.70
10262413,SD ISLAM TERPADU KHAIRUL IMAM,0617873038,sdsit.khairulimam2011@gmail.com,A,353,25,YAYASAN KHAIRUL IMAM,KOTA MEDAN,KEC. MEDAN JOHOR,JL. STM UJUNG SUKA TEGUH NO. 1
10208447,SD SWASTA ADVENT SIPITU PITU,,adventsipitupitu@yahoo.com,B,19,4,YAYASAN PENDIDIKAN GEREJA MASEHI ADVENT HARI KETUJUH SUMATERA UTARA,KAB. TOBA,KEC. SIANTAR NARUMONDA,JALAN BALIGE
70062534,SD KRISTEN HARAPAN BANGSA ACADEMY,,,,56,4,YAYASAN PENDIDIKAN SULUH PENABUR BANGSA,KAB. HUMBANG HASUNDUTAN,KEC. DOLOKSANGGUL,JL. RAYA DOLOKSANGGUL-SIBORONGBORONG
10259697,SD SWASTA ISLAM TERPADU HIKMATUL FADHILLAH,0617369139,ypi.hikmatulfadhillah@gmail.com,A,835,48,YAYASAN PENDIDIKAN ISLAM HIKMATUL FADHILLAH,KOTA MEDAN,KEC. MEDAN DENAI,JL. DENAI NO.176
69966411,SD SWASTA ISLAM TERPADU SYIFAURRAHMAH,081265074601,sditsyifaurrahmah9@gmail.com,B,379,17,YPI SYIFAURRAHMAH,KAB. DELI SERDANG,KEC. PATUMBAK,JL. PERJUANGAN II DUSUN II
10213676,SD RK ST MARIA NAMORAMBE,081268544694,santamariasdnamorambe@gmail.com,C,129,11,YAYASAN PENDIDIKAN KATOLIK BETLEHEM,KAB. DELI SERDANG,KEC. NAMO RAMBE,JL. AIR BERSIH NAMORAMBE
